Source,Target,Weight
68,792,0.4714045207910318
68,840,0.408248290463863
68,929,0.5163977794943223
69,9,0.5163977794943223
69,20,0.4364357804719848
69,23,0.5163977794943223
69,36,0.3849001794597505
69,50,0.408248290463863
69,52,0.5773502691896258
69,60,0.3849001794597505
69,71,0.3849001794597505
69,76,0.5163977794943223
69,81,0.3849001794597505
69,90,0.4364357804719848
69,101,0.4714045207910318
69,248,0.3849001794597505
69,425,0.4364357804719848
69,639,0.3849001794597505
69,677,0.408248290463863
69,689,0.4364357804719848
69,692,0.4714045207910318
69,695,0.4364357804719848
69,712,0.3849001794597505
69,726,0.5163977794943223
69,739,0.408248290463863
69,754,0.4714045207910318
69,766,0.408248290463863
69,792,0.4714045207910318
69,840,0.408248290463863
69,912,0.4364357804719848
69,915,0.5773502691896258
69,931,0.3849001794597505
71,20,0.5039526306789696
71,35,0.647150228929434
71,36,0.4444444444444444
71,41,0.5270462766947299
71,46,0.48112522432468824
71,50,0.4714045207910316
71,51,0.5270462766947299
71,52,0.6666666666666666
71,54,0.4264014327112208
71,56,0.5345224838248488
71,60,0.4444444444444444
71,68,0.3849001794597505
71,69,0.3849001794597505
71,101,0.5443310539518174
71,127,0.3849001794597505
71,344,0.44721359549995787
71,359,0.4714045207910316
71,361,0.408248290463863
71,564,0.5
71,671,0.4042260417272216
71,726,0.5962847939999438
71,754,0.5443310539518174
71,781,0.3849001794597506
71,792,0.5443310539518174
71,840,0.4714045207910316
71,912,0.3779644730092272
72,547,0.408248290463863
72,554,0.408248290463863
72,612,0.408248290463863
72,618,0.37499999999999994
73,20,0.44543540318737396
73,36,0.4714045207910317
73,50,0.41666666666666663
73,51,0.372677996249965
73,52,0.47140452079103173
73,54,0.40201512610368484
73,59,0.4260064336151292
73,60,0.4714045207910317
73,101,0.3849001794597506
73,472,0.40824829046386313
73,726,0.4216370213557839
73,754,0.3849001794597506
73,781,0.6123724356957947
73,792,0.48112522432468824
74,314,0.3779644730092272
74,329,0.3779644730092272
74,369,0.3779644730092272
74,386,0.3779644730092272
74,559,0.3779644730092272
74,605,0.4364357804719848
74,619,0.3779644730092272
75,16,0.5773502691896258
75,20,0.3779644730092272
75,68,0.5773502691896258
75,349,0.5773502691896258
75,503,0.3779644730092272
75,634,0.5
75,705,0.3779644730092272
75,710,0.7071067811865475
75,715,0.4472135954999579
75,749,0.3779644730092272
75,825,0.5
76,9,0.39999999999999997
76,19,0.38729833462074176
76,23,0.39999999999999997
76,51,0.4242640687119285
76,52,0.4472135954999579
76,69,0.5163977794943223
76,81,0.44721359549995787
76,179,0.4472135954999579
76,423,0.4472135954999579
76,425,0.5070925528371099
76,661,0.40451991747794525
76,677,0.47434164902525683
76,688,0.40451991747794525
76,689,0.5070925528371099
76,691,0.4472135954999579
76,712,0.44721359549995787
76,726,0.39999999999999997
76,781,0.38729833462074176
76,792,0.5477225575051662
76,912,0.5070925528371099
76,915,0.6708203932499369
76,917,0.40451991747794525
77,79,0.5477225575051662
79,77,0.5477225575051662
80,773,0.4472135954999579
81,20,0.5039526306789696
81,41,0.4216370213557839
